"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=vvvvvvvvvvvvo&sec=g&freq=A&start=2023&end=2024&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sat May 17 2025 17:01:09 GMT-0600 (Mountain Daylight Time)"
"Source: U.S. Energy Information Administration"
"Massachusetts : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MA-99.A",1165,1257
"Massachusetts : other renewables",,"ELEC.GEN.AOR-MA-99.A",,
"Massachusetts : wind","thousand megawatthours","ELEC.GEN.WND-MA-99.A",182,178
"Massachusetts : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MA-99.A",2015,2246
"Massachusetts : geothermal","thousand megawatthours","ELEC.GEN.GEO-MA-99.A","--","--"
"Massachusetts : biomass","thousand megawatthours","ELEC.GEN.BIO-MA-99.A",914,905
"Massachusetts : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-MA-99.A",36,35
"Massachusetts : other biomass","thousand megawatthours","ELEC.GEN.WAS-MA-99.A",878,869
"Massachusetts : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MA-99.A",-379,-483
"Massachusetts : other","thousand megawatthours","ELEC.GEN.OTH-MA-99.A",928,927
"Massachusetts : all solar","thousand megawatthours","ELEC.GEN.TSN-MA-99.A",5724,6310
"Massachusetts : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MA-99.A",3709,4064
"Massachusetts : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MA-99.A",2015,2246
"New Hampshire",,"ELEC.GEN..A",,
"New Hampshire : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NH-99.A",16825,17298
"New Hampshire : coal","thousand megawatthours","ELEC.GEN.COW-NH-99.A",160,224
"New Hampshire : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NH-99.A",68,57
"New Hampshire : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NH-99.A","--","--"
"New Hampshire : natural gas","thousand megawatthours","ELEC.GEN.NG-NH-99.A",4226,4421
"New Hampshire : other gases","thousand megawatthours","ELEC.GEN.OOG-NH-99.A","--","--"
"New Hampshire : nuclear","thousand megawatthours","ELEC.GEN.NUC-NH-99.A",9535,9677
"New Hampshire : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NH-99.A",1592,1590
"New Hampshire : other renewables",,"ELEC.GEN.AOR-NH-99.A",,
"New Hampshire : wind","thousand megawatthours","ELEC.GEN.WND-NH-99.A",411,445
"New Hampshire : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NH-99.A",3,4
"New Hampshire : geothermal","thousand megawatthours","ELEC.GEN.GEO-NH-99.A","--","--"
"New Hampshire : biomass","thousand megawatthours","ELEC.GEN.BIO-NH-99.A",779,829
"New Hampshire : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-NH-99.A",642,687
"New Hampshire : other biomass","thousand megawatthours","ELEC.GEN.WAS-NH-99.A",138,142
"New Hampshire : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NH-99.A","--","--"
"New Hampshire : other","thousand megawatthours","ELEC.GEN.OTH-NH-99.A",51,51
"New Hampshire : all solar","thousand megawatthours","ELEC.GEN.TSN-NH-99.A",302,365
"New Hampshire : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NH-99.A",299,361
"New Hampshire : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NH-99.A",3,4
"Rhode Island",,"ELEC.GEN..A",,
"Rhode Island : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-RI-99.A",10431,9461
"Rhode Island : coal","thousand megawatthours","ELEC.GEN.COW-RI-99.A",0,0
"Rhode Island : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-RI-99.A",31,"NM"
"Rhode Island : petroleum coke","thousand megawatthours","ELEC.GEN.PC-RI-99.A","--","--"
"Rhode Island : natural gas","thousand megawatthours","ELEC.GEN.NG-RI-99.A",9554,8431
"Rhode Island : other gases","thousand megawatthours","ELEC.GEN.OOG-RI-99.A","--","--"
"Rhode Island : nuclear","thousand megawatthours","ELEC.GEN.NUC-RI-99.A","--","--"
"Rhode Island : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-RI-99.A",8,"NM"
"Rhode Island : other renewables",,"ELEC.GEN.AOR-RI-99.A",,
"Rhode Island : wind","thousand megawatthours","ELEC.GEN.WND-RI-99.A",169,179
"Rhode Island : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-RI-99.A",423,623
"Rhode Island : geothermal","thousand megawatthours","ELEC.GEN.GEO-RI-99.A","--","--"
"Rhode Island : biomass","thousand megawatthours","ELEC.GEN.BIO-RI-99.A",247,208
"Rhode Island : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-RI-99.A","--","--"
"Rhode Island : other biomass","thousand megawatthours","ELEC.GEN.WAS-RI-99.A",247,208
"Rhode Island : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-RI-99.A","--","--"
"Rhode Island : other","thousand megawatthours","ELEC.GEN.OTH-RI-99.A",-0,0
"Rhode Island : all solar","thousand megawatthours","ELEC.GEN.TSN-RI-99.A",1027,1333
"Rhode Island : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-RI-99.A",603,709
"Rhode Island : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-RI-99.A",423,623
"Vermont",,"ELEC.GEN..A",,
"Vermont : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-VT-99.A",2480,2536
"Vermont : coal","thousand megawatthours","ELEC.GEN.COW-VT-99.A","--","--"
"Vermont : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-VT-99.A",3,"NM"
"Vermont : petroleum coke","thousand megawatthours","ELEC.GEN.PC-VT-99.A","--","--"
"Vermont : natural gas","thousand megawatthours","ELEC.GEN.NG-VT-99.A",1,1
"Vermont : other gases","thousand megawatthours","ELEC.GEN.OOG-VT-99.A","--","--"
"Vermont : nuclear","thousand megawatthours","ELEC.GEN.NUC-VT-99.A","--","--"
"Vermont : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-VT-99.A",1539,1529
"Vermont : other renewables",,"ELEC.GEN.AOR-VT-99.A",,
"Vermont : wind","thousand megawatthours","ELEC.GEN.WND-VT-99.A",340,355
"Vermont : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VT-99.A",192,222
"Vermont : geothermal","thousand megawatthours","ELEC.GEN.GEO-VT-99.A","--","--"
"Vermont : biomass","thousand megawatthours","ELEC.GEN.BIO-VT-99.A",403,423
"Vermont : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-VT-99.A",347,372
"Vermont : other biomass","thousand megawatthours","ELEC.GEN.WAS-VT-99.A",57,51
"Vermont : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-VT-99.A","--","--"
"Vermont : other","thousand megawatthours","ELEC.GEN.OTH-VT-99.A",3,2
"Vermont : all solar","thousand megawatthours","ELEC.GEN.TSN-VT-99.A",430,468
"Vermont : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-VT-99.A",239,246
"Vermont : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VT-99.A",192,222
"Middle Atlantic",,"ELEC.GEN..A",,
"Middle Atlantic : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MAT-99.A",424194,436517
