state,energy_source,generation
Pennsylvania,wood_and_wood-derived_fuels,255
Pennsylvania,other_biomass,1251
Pennsylvania,hydro-electric_pumped_storage,-909
Pennsylvania,other,872
Pennsylvania,all_solar,2189
Illinois,all_fuels_(utility-scale),186092
Illinois,coal,26972
Illinois,petroleum_liquids,23
Illinois,petroleum_coke,0
Illinois,natural_gas,32012
Illinois,other_gases,176
Illinois,nuclear,99212
Illinois,conventional_hydroelectric,74
Illinois,other_renewables,NA
Illinois,wind,24432
Illinois,geothermal,NA
Illinois,biomass,254
Illinois,wood_and_wood-derived_fuels,0
Illinois,other_biomass,254
Illinois,hydro-electric_pumped_storage,NA
Illinois,other,234
Illinois,all_solar,4628
Indiana,all_fuels_(utility-scale),94799
Indiana,coal,40610
Indiana,petroleum_liquids,97
Indiana,petroleum_coke,0
Indiana,natural_gas,38405
Indiana,other_gases,1675
Indiana,nuclear,NA
Indiana,conventional_hydroelectric,460
Indiana,other_renewables,NA
Indiana,wind,9793
Indiana,geothermal,NA
Indiana,biomass,226
Indiana,wood_and_wood-derived_fuels,0
Indiana,other_biomass,226
Indiana,hydro-electric_pumped_storage,NA
Indiana,other,432
Indiana,all_solar,3489
Michigan,all_fuels_(utility-scale),124719
Michigan,coal,25741
Michigan,petroleum_liquids,93
Michigan,petroleum_coke,1406
Michigan,natural_gas,56039
Michigan,other_gases,946
Michigan,nuclear,26281
Michigan,conventional_hydroelectric,1360
Michigan,other_renewables,NA
Michigan,wind,9764
Michigan,geothermal,NA
Michigan,biomass,2030
Michigan,wood_and_wood-derived_fuels,1338
Michigan,other_biomass,692
Michigan,hydro-electric_pumped_storage,-976
Michigan,other,121
Michigan,all_solar,2262
Ohio,all_fuels_(utility-scale),142876
Ohio,coal,30180
Ohio,petroleum_liquids,141
Ohio,petroleum_coke,835
Ohio,natural_gas,85417
Ohio,other_gases,682
Ohio,nuclear,17947
Ohio,conventional_hydroelectric,504
Ohio,other_renewables,NA
Ohio,wind,2865
Ohio,geothermal,NA
Ohio,biomass,279
Ohio,wood_and_wood-derived_fuels,134
Ohio,other_biomass,145
Ohio,hydro-electric_pumped_storage,NA
Ohio,other,5
Ohio,all_solar,4530
Wisconsin,all_fuels_(utility-scale),65567
Wisconsin,coal,20816
Wisconsin,petroleum_liquids,NA
Wisconsin,petroleum_coke,3
Wisconsin,natural_gas,26658
Wisconsin,other_gases,NA
Wisconsin,nuclear,10147
Wisconsin,conventional_hydroelectric,1905
Wisconsin,other_renewables,NA
Wisconsin,wind,1994
Wisconsin,geothermal,NA
Wisconsin,biomass,943
Wisconsin,wood_and_wood-derived_fuels,613
Wisconsin,other_biomass,331
Wisconsin,hydro-electric_pumped_storage,NA
Wisconsin,other,107
